name,phoneNumber
"Ron O''Henry",+1 670 123 4567
"Ron O'Henry-Smith-Barnes",1 670 123 4567
"L33t Hacker",123 4567
"Brad Everett Samuel Smith",(703)111-2121
"select * from users;",123-1234
"-1 UNION SELECT 1 INTO @,@",011 701 111 1234
"'ij- -klmnop'",12345.12345
"e-'f g'-'-'-h",011 1 703 111 1234
"'-'c -'-'-'-d",123-4567
"a-'- b'-'-'-'",(670)123-4567
"'-'- -'-'-'-'",670-123-4567
"'''' ''''''''",1-670-123-4567
"---- --------",1(670)123-4567
"Þór Eldon",670 123 4567
"..Mathias",670.123.4567
"76765675  sgigidgw",1 670 123 4567
"O''''Malley, John",1.670.123.4567
"!!!Im Hacker",(+45) 35 35 35 35
"🤣 Maria",+45 35 35 35 35
"١١١١١",35 35 35 35
"123John",35353535
